time,temperature_2m_max,precipitation_sum,temperature_f
2026-04-09,8.1,0.2,46.58
2026-04-10,7.6,0.5,45.68
2026-04-11,9.4,3.5,48.92
2026-04-12,7.4,1.5,45.32
2026-04-13,9.6,0.1,49.28
2026-04-14,9.6,0.0,49.28
2026-04-15,8.1,0.0,46.58
2026-04-16,9.3,0.2,48.74
2026-04-17,9.1,0.0,48.379999999999995
2026-04-18,8.1,0.0,46.58
2026-04-19,9.1,15.0,48.379999999999995
2026-04-20,10.4,13.5,50.72
2026-04-21,8.9,0.3,48.019999999999996
2026-04-22,8.8,2.7,47.84
